,cod_local,qtd_pes,qtd_pes_pobres,qtd_pes_vulneraveis,qtd_pes_pob_vul,proporcao
0,Norte,15864454.0,8535353.0026781,2594658.6297813,11130011.6324594,70.15691578455457
1,Nordeste,53081950.0000001,20559194.8914007,9421908.83660385,29981103.7280046,56.48078815492752
2,Sudeste,80364410.0000006,8295707.26461375,7544151.26674455,15839858.5313583,19.710041461585025
3,Sul,27386891.0000001,4605876.76111532,3424154.82226363,8030031.58337895,29.320712538633614
4,Centro-Oeste,14058094.0000001,2922156.1466473,2227752.75290836,5149908.89955568,36.63305210191114
